"country_code","state_code","name","postcode"
"AU","NSW","Dobies Bight","2470"
"AU","QLD","Tieri","4709"
"AU","QLD","Moores Pocket","4305"
"AU","NSW","Merrylands West","2160"
"AU","VIC","Dean","3352"
"AU","NT","Cape Crawford","0"
"AU","NSW","Tahmoor","2573"
"AU","QLD","Cedar Grove","4285"
"AU","SA","Port Augusta North","5700"
"AU","NSW","Petersham North","2049"
"AU","SA","Mil Lel","5291"
"AU","NSW","Winton","2344"
"AU","WA","Barragup","6210"
"AU","QLD","Drillham","4424"
"AU","VIC","Jallukar","3377"
"AU","VIC","Ondit","3249"
"AU","VIC","Yaapeet","3424"
"AU","NSW","Wisemans Creek","2795"
"AU","QLD","Alberton","4207"
"AU","TAS","Selbourne","7292"
"AU","VIC","Maribyrnong","3032"
"AU","NSW","Carroll Gap","2340"
"AU","NSW","Turlinjah","2537"
"AU","QLD","Parkwood","4214"
"AU","WA","North Yunderup","6208"
"AU","VIC","Linton","3360"
"AU","VIC","Cobains","3851"
"AU","WA","Butler","6032"
"AU","QLD","Grantham","4347"
"AU","VIC","Myrtleford","3737"
"AU","NSW","Brucedale","2650"
"AU","NSW","Flinders","2529"
"AU","NSW","Laurieton","2443"
"AU","QLD","Biddaddaba","4275"
"AU","WA","Churchlands","6018"
"AU","QLD","Galloways Hill","4171"
"AU","QLD","North Lakes","4509"
"AU","NSW","Hinchinbrook","2168"
"AU","VIC","Illowa","3282"
"AU","NSW","Goodnight","2736"
"AU","NSW","Henley","2111"
"AU","VIC","Oakleigh South","3167"
"AU","VIC","Orford","3284"
"AU","SA","Seaford","5169"
"AU","QLD","Wynnum North","4178"
"AU","NSW","Chinderah","2487"
"AU","WA","South Fremantle","6162"
"AU","VIC","Westmere","3351"
"AU","TAS","Brooklyn","7320"
"AU","WA","Wonnerup","6280"
"AU","WA","Pardelup","6324"
"AU","NT","Brunchilly","0861"
"AU","VIC","Buffalo","3958"
"AU","VIC","Clarkefield","3430"
"AU","VIC","Normanville","3579"
"AU","VIC","Spargo Creek","3461"
"AU","NSW","Boorganna","2429"
"AU","NSW","Ifield","2580"
"AU","NSW","Marmong Point","2284"
"AU","QLD","Calamvale","4116"
"AU","VIC","Wymlet","3490"
"AU","NSW","Turrawan","2390"
"AU","NSW","Bulby Brush","2429"
"AU","SA","Lynton","5062"
"AU","VIC","Caramut","3274"
"AU","VIC","Mount Helen","3350"
"AU","NSW","Edmondson Park","2171"
"AU","NSW","Guildford West","2161"
"AU","VIC","Kingsville West","3012"
"AU","VIC","Mount Cottrell","3030"
"AU","SA","Lucindale","5272"
"AU","VIC","Archdale Junction","3475"
"AU","VIC","Wattle Hill","3238"
"AU","VIC","Yarck","3719"
"AU","SA","Sheidow Park","5158"
"AU","NSW","St Pauls","2031"
"AU","NSW","Gresham","2795"
"AU","WA","Bindi Bindi","6574"
"AU","SA","Elizabeth East","5112"
"AU","VIC","Bonang","3888"
"AU","TAS","Lollara","7109"
"AU","NSW","Mount Dee","2320"
"AU","NSW","St Huberts Island","2257"
"AU","NSW","Sassafras","2622"
"AU","WA","Gwindinup","6237"
"AU","VIC","Bulga","3586"
"AU","TAS","Dromedary","7030"
"AU","WA","Kalgan","6330"
"AU","QLD","Bingil Bay","4854"
"AU","NSW","Berrara","2540"
"AU","VIC","St Arnaud","3478"
"AU","TAS","Clarendon","7212"
"AU","VIC","St Kilda East","3183"
"AU","SA","Yorketown","5576"
"AU","VIC","Greta South","3675"
"AU","NSW","Bungonia","2580"
"AU","NSW","Doon Ayre","2422"
"AU","WA","The Spectacles","6167"
"AU","NT","Berry Springs","0837"
"AU","TAS","Levendale","7120"
"AU","NSW","Bimbi","2810"
"AU","VIC","Warncoort","3243"
"AU","NSW","Morven","2660"
"AU","VIC","Merlynston","3058"
"AU","NSW","Calimo","2710"
"AU","QLD","Guanaba","4210"
"AU","NSW","Calga","2250"
"AU","WA","Wonthella","6530"
"AU","VIC","Williamstown North","3016"
"AU","NSW","Woodenbong","2476"
"AU","SA","Wallaroo Mines","5554"
"AU","NSW","Chichester","2420"
"AU","VIC","Gainsborough","3822"
"AU","NSW","Catalina Heights","2536"
"AU","NSW","Tumblong","2729"
"AU","WA","Leschenault","6230"
"AU","QLD","Amiens","4352"
"AU","QLD","St Lucia South","4067"
"AU","VIC","Topiram","3988"
"AU","NSW","Leeton","2705"
"AU","VIC","Gritjurk","3315"
"AU","NSW","Dalgety","2630"
"AU","SA","Peake","5301"
"AU","NSW","Mount Warrigal","2528"
"AU","QLD","Parkinson","4115"
"AU","NSW","Warrumbungle","2828"
"AU","SA","Waikerie","5330"
"AU","NSW","Verona","2550"
"AU","WA","Red Gully","6503"
"AU","WA","Shenton Park","6008"
"AU","WA","Regans Ford","6507"
"AU","QLD","Upper Coomera","4209"
"AU","VIC","Arcadia","3631"
"AU","NSW","Somerton","2340"
"AU","NT","Moulden","0830"
"AU","SA","Parafield Gardens","5107"
"AU","NSW","Killawarra","2429"
"AU","QLD","Mount Alford","4310"
"AU","WA","Broomehill","6318"
"AU","NSW","Alphadale","2477"
"AU","VIC","Havilah","3737"
"AU","NT","Yuendumu","0872"
"AU","SA","Summertown","5141"
"AU","WA","Minnivale","6462"
"AU","QLD","Paradise Beach","3851"
"AU","WA","Reid","6434"
"AU","QLD","Robina","4226"
"AU","NSW","Balala","2358"
"AU","QLD","Miami Keys","4218"
"AU","SA","Daw Park","5041"
"AU","NSW","Liddell","2333"
"AU","VIC","Bullengarook","3437"
"AU","NSW","Gocup","2720"
"AU","TAS","Opossum Bay","7023"
"AU","SA","Woodville","5011"
"AU","VIC","Tarrington","3301"
"AU","TAS","Liena","7304"
"AU","VIC","Banyan","3485"
"AU","WA","Mummballup","6225"
"AU","VIC","St Kilda South","3182"
"AU","TAS","Waddamana","7030"
"AU","VIC","Baxter","3911"
"AU","QLD","Banksia Beach","4507"
"AU","NSW","Uarbry","2329"
"AU","SA","Moonta Mines","5558"
"AU","VIC","Rheola","3517"
"AU","VIC","Yooralla","3104"
"AU","NSW","Cookardinia","2650"
"AU","NSW","Gidginbung","2666"
"AU","QLD","Ebenezer","4340"
"AU","QLD","Lamington","4285"
"AU","VIC","Mount Moriac","3240"
"AU","VIC","Swifts Creek","3896"
"AU","VIC","Woorarra","3962"
"AU","TAS","Lalla","7267"
"AU","VIC","Gre Gre","3478"
"AU","VIC","Reefton","3799"
"AU","QLD","Cement Mills","4352"
"AU","VIC","Tonghi Creek","3890"
